File Name	Gallery Caption	Identification Basis	Sort Group
733443011_1399880695536006_6680311752568557163_n.jpg	Red Carpet Balloon Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-10-34-47-am-3.webp	Black and Gold Event Aisle Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-51-00-am-2.webp	Event Hall Balloon Arch	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-51-00-am-1.webp	Pink and Black Event Hall Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-27-42-am-2.webp	Red and White Celebration Backdrop	Visible photo and catalogue context	Featured event setups
chatgpt-image-jul-6-2026-09-55-16-pm.webp	Red Carpet Aisle Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-22-57-am-5.webp	White and Gold Celebration Backdrop	Visible photo and catalogue context	Featured event setups
baby-shower-theme-2.webp	Baby Shower Backdrop Display	File name and visible photo	Baby and bridal showers
chatgpt-image-jun-14-2026-11-04-34-pm-5.webp	Baby Shower Balloon Backdrop	Visible photo and catalogue context	Baby and bridal showers
baby-shower-set-up.webp	Baby Shower Table Setup	File name and visible photo	Baby and bridal showers
bridal-shower-set-up.webp	Bridal Shower Table Setup	File name and visible photo	Baby and bridal showers
baby-shower-theme1.webp	Sage and Gold Baby Shower Display	File name and visible photo	Baby and bridal showers
birthday-theme2.webp	Black and Gold Birthday Display	File name and visible photo	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-17-36-pm-5.webp	Black and Gold Milestone Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-54-45-pm-2.webp	Black and Red Milestone Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-03-09-55-am-8.webp	Blue Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-04-35-pm-7.webp	Carnival Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
gatsby-themed-party.webp	Gatsby Milestone Party Backdrop	File name and visible photo	Birthday and milestone themes
chatgpt-image-jun-15-2026-10-34-49-am-6.webp	Gold 50th Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-03-09-54-am-3.webp	Green Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-03-09-54-am-5.webp	Green Birthday Dessert Table	Visible photo and catalogue context	Birthday and milestone themes
birthday-theme3.webp	Pink Balloon Birthday Backdrop	File name and visible photo	Birthday and milestone themes
chatgpt-image-jun-15-2026-10-34-50-am-8.webp	Pink Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-54-47-pm-7.webp	Pink Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-54-48-pm-9.webp	Purple Balloon Birthday Arch	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-04-33-pm-3.webp	Train Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-02-51-01-am-4.webp	Tropical Birthday Dessert Table	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-04-34-pm-4.webp	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-02-27-44-am-7.webp	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-02-51-03-am-10.webp	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
birthday-theme1.webp	White and Gold Birthday Backdrop	File name and visible photo	Birthday and milestone themes
738395988_1773032303689777_2856028005893033296_n.jpg	Pink Balloon Floral Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-22-57-am-6.webp	Balloon Centrepiece Table Setting	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-04-36-pm-8.webp	Balloon Column Character Display	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-17-36-pm-10.webp	Balloon Column Entrance	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-10-34-49-am-7.webp	Black and Gold Draped Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-03-09-55-am-7.webp	Blue and White Balloon Setup	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-03-09-54-am-6.webp	Blue Balloon Table Setup	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-04-33-pm-1.webp	Butterfly Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
christmas-theme1.webp	Christmas Balloon Display	File name and visible photo	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-57-04-am-2.webp	Dessert Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-57-04-am-2.webp	Dessert Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-04-35-pm-6.webp	Floral Arbour Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-22-56-am-3.webp	Floral Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-22-58-am-8.webp	Green Balloon Column Display	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-03-09-53-am-2.webp	Green Balloon Table Setting	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-27-43-am-6.webp	Masquerade Party Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-04-33-pm-2.webp	Pastel Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-17-36-pm-6.webp	Pink Floral Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-10-34-50-am-9.webp	Red and Black Balloon Column	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-03-09-56-am-9.webp	Red and White Wedding Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-17-36-pm-7.webp	Red and Yellow Balloon Arch	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-10-34-50-am-10.webp	Tuxedo Theme Party Table	Visible photo and catalogue context	Balloon styling and backdrops
valentine-theme-1.webp	Valentine Balloon Backdrop	File name and visible photo	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-54-44-pm-1.webp	White Balloon Arch Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-54-46-pm-4.webp	White Balloon Ceremony Arch	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-14-2026-11-54-46-pm-6.webp	White Balloon Column Decor	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-03-16-16-am-3.webp	White Draped Garden Arbour	Visible photo and catalogue context	Balloon styling and backdrops
chatgpt-image-jun-15-2026-02-22-56-am-4.webp	Banquet Room Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-10-34-47-am-4.webp	Black and Gold Aisle Seating	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-10-34-48-am-5.webp	Black and Gold Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-10-34-48-am-5.webp	Black and Gold Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-10-34-47-am-2.webp	Black and Gold Outdoor Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-10-34-45-am-1.webp	Black and Gold Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-05-am-4.webp	Boho Picnic Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-05-am-4.webp	Boho Picnic Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-27-42-am-3.webp	Buffet Warmer Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-09-56-am-10.webp	Floral Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-3.webp	Formal Event Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-22-58-am-7.webp	Formal Round Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-8.webp	Formal Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-16-16-am-4.webp	Garden Ceremony Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-16-17-am-6.webp	Gold Skirted Buffet Table	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-09-54-am-4.webp	Green and White Kids Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-09-52-am-1.webp	Green and White Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-27-44-am-8.webp	Indoor Red and White Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-2.webp	Marquee Banquet Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-9.webp	Marquee Chair Seating	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-02-am-8.webp	Marquee Tropical Seating Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-02-am-7.webp	Marquee Tropical Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-04-36-pm-9.webp	Outdoor Kids Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-04-am-1.webp	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-06-am-7.webp	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-04-am-1.webp	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-06-am-7.webp	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-01-am-3.webp	Pink Feather Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-54-46-pm-5.webp	Pink Marquee Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-23-00-am-9.webp	Poolside Marquee Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-23-01-am-10.webp	Poolside Red Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-16-15-am-2.webp	Red and White Buffet Table	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-27-43-am-5.webp	Red and White Marquee Seating	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-03-16-16-am-5.webp	Red and White Marquee Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-54-47-pm-8.webp	Round Table Chair Bow Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-22-56-am-1.webp	Round Table Event Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-54-48-pm-10.webp	Skirted Buffet Table Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-03-am-9.webp	Tropical Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-02-am-6.webp	Tropical Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-51-01-am-5.webp	Tropical Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-4.webp	White Marquee Seating Setup	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-14-2026-11-17-36-pm-1.webp	White Table Setting	Visible photo and catalogue context	Tables, seating, and dining
chatgpt-image-jun-15-2026-02-57-05-am-5.webp	Boho Picnic Marquee Setup	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-15-2026-02-57-05-am-5.webp	Boho Picnic Marquee Setup	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-14-2026-11-54-45-pm-3.webp	Outdoor White Marquee	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-15-2026-02-27-41-am-1.webp	Poolside Marquee Dining Setup	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-15-2026-02-27-43-am-4.webp	Poolside Red and White Event Setup	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-15-2026-03-16-15-am-1.webp	Red and White Marquee Ceremony Setup	Visible photo and catalogue context	Marquees and outdoor setups
chatgpt-image-jun-15-2026-02-22-56-am-2.webp	Floral Hanging Arbour	Visible photo and catalogue context	Wedding and ceremony styling
chatgpt-image-jun-15-2026-02-57-05-am-3.webp	Lighted Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
chatgpt-image-jun-15-2026-02-57-05-am-3.webp	Lighted Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
chatgpt-image-jun-15-2026-02-57-07-am-8.webp	Outdoor Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
chatgpt-image-jun-15-2026-02-57-07-am-8.webp	Outdoor Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
generated-missing-themes/custom-themes.webp	Custom Theme Setup	Generated missing theme image	Generated missing theme images
generated-missing-themes/mermaid-theme.webp	Mermaid Theme Setup	Generated missing theme image	Generated missing theme images
generated-missing-themes/princess-theme.webp	Princess Theme Setup	Generated missing theme image	Generated missing theme images
